x,y,z,vx,vy,vz,gmag,bprp
-8.326,-0.096,0.032,14.664,234.857,-4.946,6.924,1.463
-8.293,0.012,0.129,-18.789,219.096,26.073,5.515,1.000
-8.207,-0.027,0.054,14.336,235.854,9.025,6.730,1.071
-8.317,0.043,0.119,-0.509,216.612,2.891,8.607,2.099
-8.266,0.018,-0.062,40.517,221.123,-0.614,8.104,2.131
-8.270,-0.016,-0.064,42.590,243.370,-1.683,6.047,1.167
-8.295,-0.079,0.092,25.749,213.278,14.251,5.707,0.977
-8.210,0.034,0.057,-43.318,205.661,-6.887,8.467,2.153
-8.216,0.048,0.054,-37.812,259.835,26.195,4.294,0.887
-8.257,-0.032,-0.054,1.387,230.832,10.618,7.925,1.812
-8.361,0.079,0.025,-3.697,201.070,-4.397,6.213,1.230
-8.393,-0.001,0.066,-5.448,228.505,-12.298,7.844,1.348
-8.285,0.097,0.049,-3.232,225.825,-26.852,5.786,1.094
-8.389,-0.004,-0.016,27.566,255.408,-1.696,7.565,1.580
-8.298,-0.095,0.000,45.806,222.685,-4.323,7.480,1.624
-8.307,0.005,0.130,-54.685,192.883,-70.903,7.834,1.665
-8.233,0.066,0.066,-10.282,233.975,16.848,4.289,0.716
-8.351,-0.039,-0.046,-7.356,227.645,-13.588,3.077,0.615
-8.209,0.017,0.067,14.033,245.445,10.720,5.866,1.059
-8.390,-0.044,0.037,23.793,223.038,-3.663,2.491,0.625
-8.218,0.037,-0.014,34.939,217.689,-11.732,3.585,0.741
-8.213,0.014,-0.018,-10.155,240.456,-7.781,-0.496,1.414
-8.222,0.050,-0.007,4.636,231.088,-20.450,3.445,0.810
-8.254,-0.048,0.104,-22.851,186.959,4.480,6.268,1.302
-8.244,-0.050,-0.036,7.909,224.964,2.915,8.128,1.869
-8.280,0.031,0.123,4.062,248.226,11.936,6.881,1.410
-8.207,0.035,0.042,-9.104,226.392,4.956,3.225,0.619
-8.397,0.007,0.005,-5.632,246.832,-5.294,2.071,0.631
-8.228,-0.000,-0.040,-2.672,262.387,1.184,5.143,1.026
-8.279,0.096,0.049,111.989,95.188,45.937,4.485,0.740
-8.348,-0.065,-0.028,-37.955,244.900,-6.436,0.575,1.280
-8.351,-0.083,0.009,-28.549,247.961,6.191,7.812,1.699
-8.373,0.002,0.099,-8.715,223.264,1.725,4.785,0.846
-8.386,-0.005,0.080,52.442,212.200,-10.254,6.539,1.291
-8.283,0.087,-0.016,-2.902,251.341,-28.740,7.979,1.798
-8.382,-0.042,0.069,48.761,219.888,-10.635,8.629,2.262
-8.244,-0.072,-0.010,-15.591,245.755,-22.923,3.530,0.792
-8.226,0.061,0.002,-27.846,201.816,23.617,3.888,0.746
-8.295,-0.046,0.119,-29.089,233.848,-1.416,5.882,1.070
-8.360,-0.033,-0.042,45.763,209.054,25.159,7.908,1.659
-8.272,-0.070,0.096,14.467,234.625,22.126,0.533,1.154
-8.385,-0.053,0.034,65.156,191.867,5.241,6.687,1.357
-8.331,0.050,-0.051,-10.096,235.292,-13.917,5.166,0.934
-8.287,0.024,-0.066,2.799,241.404,-11.894,4.794,0.814
-8.231,-0.027,0.097,-16.469,227.233,-19.398,4.573,0.874
-8.232,-0.028,0.098,13.466,247.242,6.080,7.217,1.541
-8.257,0.006,-0.060,-7.822,143.016,-16.742,7.029,1.493
-8.396,-0.009,0.004,15.110,232.647,7.394,3.594,0.686
-8.270,0.045,0.114,-33.728,217.919,-5.827,5.184,0.936
-8.202,-0.018,0.028,-14.203,221.616,7.772,8.649,2.110
-8.394,0.031,0.046,-24.312,231.733,-14.908,2.616,0.681
-8.330,0.023,0.123,68.079,212.800,23.621,6.059,1.061
-8.262,0.059,0.101,53.014,217.658,-12.783,4.392,0.755
-8.333,0.058,0.104,40.646,244.175,1.291,3.303,0.611
-8.241,0.053,0.091,-27.044,222.412,-3.257,3.715,0.635
-8.322,0.025,-0.064,-33.371,192.125,14.114,6.878,1.485
-8.391,0.019,0.067,8.737,255.115,-4.704,8.261,1.809
-8.301,-0.023,-0.067,22.609,233.137,-3.687,7.564,0.951
-8.214,-0.051,0.030,-22.775,230.192,8.025,8.551,2.061
-8.206,-0.004,-0.003,-31.261,231.874,11.535,7.825,1.884
-8.230,0.061,0.067,80.325,193.855,21.612,4.651,0.866
-8.370,0.003,-0.041,33.597,216.914,-10.359,7.487,1.791
-8.365,-0.075,0.025,-26.275,190.824,30.261,8.490,2.115
-8.216,-0.030,-0.015,30.766,192.318,-23.197,8.413,2.167
-8.299,-0.100,0.027,-97.609,239.628,-4.085,8.256,1.956
-8.367,-0.054,-0.021,-17.490,191.694,6.084,8.714,1.970
-8.324,0.096,0.013,83.662,238.841,1.953,7.980,1.745
-8.232,-0.052,-0.021,-34.521,201.678,-12.237,6.443,1.272
-8.298,-0.080,0.090,25.048,219.857,-8.368,5.000,0.932
-8.204,-0.026,0.041,17.428,251.339,-15.995,4.986,0.907
-8.312,0.097,0.049,-7.824,220.192,13.160,8.224,2.032
-8.273,-0.090,-0.003,-33.891,225.893,4.956,6.290,1.249
-8.240,0.032,0.103,12.445,248.138,-17.063,8.112,1.957
-8.344,-0.080,0.070,-43.691,204.985,-16.973,6.738,1.251
-8.242,0.044,0.098,-20.031,225.166,-10.531,4.656,0.853
-8.205,-0.026,0.047,13.538,206.918,-7.028,7.845,1.799
-8.319,0.096,0.012,60.936,209.439,-15.586,8.115,1.913
-8.347,0.030,0.113,-11.848,225.277,5.109,7.999,1.842
-8.334,0.085,-0.010,-45.245,237.699,-12.263,4.852,0.792
-8.277,-0.084,0.078,-10.660,230.581,-33.259,1.671,1.070
-8.286,-0.098,0.015,-12.066,237.567,0.495,5.729,1.016
-8.227,-0.001,-0.038,-20.326,240.770,-5.679,6.754,1.466
-8.397,-0.021,0.044,-18.237,236.694,9.313,4.997,1.354
-8.381,0.011,0.087,18.787,190.789,-11.348,8.083,2.215
-8.299,-0.062,0.108,-20.511,210.653,-12.528,5.002,0.924
-8.208,0.004,-0.010,-17.779,168.467,-18.927,7.926,1.969
-8.242,-0.068,-0.014,-79.426,223.108,5.895,8.096,1.898
-8.251,-0.087,0.029,12.771,215.024,4.476,4.984,0.875
-8.322,-0.020,-0.065,-29.367,222.749,1.166,6.784,1.420
-8.309,-0.100,0.032,-6.031,242.103,-37.620,6.555,1.320
-8.235,-0.076,0.027,39.462,215.402,-2.306,3.224,0.806
-8.353,0.030,-0.049,56.063,249.359,16.747,8.365,1.898
-8.320,0.005,0.128,-5.459,218.611,5.312,7.636,1.710
-8.308,0.093,-0.006,22.527,228.855,-46.617,5.245,0.881
-8.304,-0.023,-0.067,54.847,224.536,-18.856,5.479,0.927
-8.213,-0.046,0.050,48.174,244.601,25.072,2.892,0.692
-8.338,-0.071,-0.029,-22.588,227.190,9.172,6.396,1.282
-8.205,-0.016,0.004,33.793,205.130,-8.358,6.876,1.532
-8.356,0.062,0.085,36.606,247.940,-32.324,3.154,0.653
-8.219,0.009,0.088,-10.927,221.119,-3.556,7.408,1.665
-8.246,-0.081,0.006,-51.940,276.160,29.659,8.103,2.063
-8.272,-0.092,0.058,-18.886,190.542,4.320,7.118,1.501
-8.215,-0.005,-0.022,62.044,237.407,7.429,8.083,1.880
-8.205,0.024,0.010,8.207,232.691,-20.179,4.179,0.861
-8.222,-0.062,0.029,57.957,219.507,0.751,7.621,2.062
-8.274,-0.096,0.023,-21.375,155.251,-6.746,2.996,0.700
-8.372,-0.065,0.006,55.867,218.618,-31.114,4.030,0.790
-8.256,-0.004,0.120,13.127,262.088,-0.194,4.793,0.819
-8.369,-0.001,-0.042,-42.323,158.294,19.450,6.124,1.166
-8.233,0.059,-0.014,-22.672,232.851,1.834,3.557,0.802
-8.332,-0.077,-0.025,-6.582,217.426,6.310,5.892,1.112
-8.206,-0.007,0.063,-17.942,228.844,-21.141,6.956,1.490
-8.360,0.016,-0.048,42.688,198.496,4.817,5.216,0.924
-8.371,-0.068,0.049,18.379,227.784,13.064,5.771,1.013
-8.223,0.052,0.068,23.445,259.612,-0.735,5.407,1.069
-8.270,0.016,-0.064,34.396,209.852,1.112,6.085,1.172
-8.239,-0.068,-0.012,-23.284,199.118,8.259,8.205,2.023
-8.212,0.047,0.030,-7.551,222.085,-22.603,8.455,2.174
-8.369,0.069,0.008,35.490,238.381,12.477,4.829,0.829
-8.386,0.018,-0.017,112.456,159.263,-48.785,5.843,1.016
-8.281,-0.012,-0.067,-2.526,240.353,19.279,6.943,1.420
-8.294,-0.017,0.128,-38.493,234.596,-7.023,6.301,1.075
-8.273,-0.059,-0.046,28.100,249.472,-11.437,4.346,0.737
